Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
ALOS3,31.4,90,13.91,0.89,7.8,9.8,6.0726628397517,22.08,10.47771014,-52.546602626812,29.750184873375,34.738156129416,6.42,"11,99 Bilhões","962,71 Milhões","2,75 Bilhões",28.06,36.59,"3,08 Bilhões",0.46,2.7385446573045,3.61,Financeiro
EGIE3,28.94,70,10.06,2.8,41.99,7.87,-1.0012864977496,41.47,44.608521133133,7.5681724936894,37.052489794884,-10.652303364157,27.84,"33,84 Bilhões","3,44 Bilhões","11,62 Bilhões",-1.06,4.25,"5,57 Bilhões",2.14,6.0780020860624,5.61,Utilidade Pública
BPAC11,27.8,100,12.55,2.57,311.8,15.2,18.545103739288,40.01,9.9464935633333,-75.139981096393,33.451042584649,-16.393295214574,20.45,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.226423639627,2.11,Financeiro,
BPAC3,27.8,90,21.36,4.37,375.85,18.54,33.688071097508,22.7,3.3154921333333,-85.394307782673,11.136426715962,-50.940851471533,20.45,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",1.4179069090514,1.23,Financeiro,
BPAC5,27.8,90,8.11,1.66,241.36,12.68,2.9406426725435,8.62,3.3154964666667,-61.537163959783,11.136426715962,29.192885335986,20.45,"201,18 Bilhões","12,23 Bilhões","43,98 Bilhões",27.22,30.1,"1,59 Bilhão",2.9862945943587,3.36,Financeiro,
VIVA3,27.44,100,8.03,2.25,54.07,29.25,9.7948540343973,24.9,6.8445397877,-72.511888402811,27.774718720448,11.545055102201,28.05,"5,88 Bilhões","732,62 Milhões","2,67 Bilhões",20.57,37.95,"177,08 Milhões",0.18,0.97726956380795,2.71,Consumo Cíclico
EZTC3,27.07,70,6.77,0.61,-43.91,-7.45,2.7619960406974,13.55,9.7313397366333,-28.181994563592,31.585597983891,133.10404416156,9.02,"2,99 Bilhões","469,39 Milhões","1,63 Bilhão",11.75,2.49,"1,18 Bilhão",0.32,3.9249477510422,7.89,Consumo Cíclico
SBSP3,26.93,100,7.98,2.13,236.98,12.97,58.263097853303,119.6,30.54724,-74.458829431438,137.60620988894,15.055359438913,26.66,"81,75 Bilhões","10,24 Bilhões","38,01 Bilhões",16.39,60.1,"8,14 Bilhões",0.72,1.8115921223234,3.2,Utilidade Pública
ALUP3,26.72,50,9.36,1.24,46.14,9.17,15.993442242701,10.7,7.13333,-33.333364485981,14.860905086838,38.886963428393,13.26,"10,39 Bilhões","1,94 Bilhão","4,23 Bilhões",-7.18,-1.13,"3,68 Bilhões",1.48,4.3048742423661,2.81,Utilidade Pública
ALUP4,26.72,50,8.84,1.17,108.37,6.96,11.517308268597,10.1,6.73333,-33.333366336634,14.860905086838,47.137674127109,13.26,"10,39 Bilhões","1,94 Bilhão","4,23 Bilhões",-7.18,-1.13,"3,68 Bilhões",1.48,4.2555416047031,2.94,Utilidade Pública
