Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
EQPA5,39.61,70,8.35,3.31,62.14,16.58,19.002247883065,6.7913,6.84505804,0.7915721584969,6.7123952505793,-1.1618504472001,18.19,"12,77 Bilhões","1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,5.4856908967081,8.84,Utilidade Pública
EQPA6,39.61,70,8.96,3.55,-14.13,8.97,5.7843181824373,7.3413,6.9413566666667,-5.4478543763816,6.7123952505793,-8.566667339854,18.19,"12,77 Bilhões","1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,4.4747606892273,8.23,Utilidade Pública
EQPA7,39.61,70,9.24,3.66,97.35,8.81,30.379287660347,7.5913,6.9413566666667,-8.5616868432719,6.7123952505793,-11.577789699007,18.19,"12,77 Bilhões","1,98 Bilhão","10,86 Bilhões",13.08,22.43,"3,61 Bilhões",1.54,5.6467345385454,7.98,Utilidade Pública
CMIN3,35.3,70,8.47,2.99,12.05,-1.24,12.740431601626,5.58,12.106599540148,116.96414946502,5.2696774094815,-5.5613367476434,18.59,"30,61 Bilhões","3,61 Bilhões","19,44 Bilhões",7.11,-2.18,"14,30 Bilhões",0.96,13.450181878174,14.8,Materiais Básicos
WHRL3,32.67,70,7.47,2.44,3.5,20.5,11.422130340333,4.45,6.517548601246,46.461766320135,4.9568134925575,11.389067248483,6.8,"6,91 Bilhões","896,97 Milhões","13,17 Bilhões",7.3,4.68,"2,88 Bilhões",0.41,9.3699134773805,13.47,Consumo Cíclico
WHRL4,32.67,70,8.26,2.7,17.14,17.06,17.31378612096,4.92,7.1694801247039,45.721140746014,4.9568134925575,0.74824171864838,6.8,"6,91 Bilhões","896,97 Milhões","13,17 Bilhões",7.3,4.68,"2,88 Bilhões",0.41,9.303388782946,13.45,Consumo Cíclico
REDE3,31.93,50,10.81,3.45,4.57,4.62,4.0118071943584,6.8,10.441741478733,53.555021746074,5.2843873817123,-22.288420857172,7.35,"14,35 Bilhões","1,82 Bilhão","18,07 Bilhões",9.85,8.16,"3,01 Bilhões",3.88,9.091557595473,9.12,Utilidade Pública
VBBR3,30.13,70,3.54,1.07,22.51,8.23,-10.294542724499,19.59,24.9541958907,27.382316950995,47.808861626272,144.04727731635,3.49,"21,92 Bilhões","6,18 Bilhões","177,53 Bilhões",16.85,9.61,"5,47 Bilhões",1.28,6.3169637189176,9.06,"Petróleo, Gás e Biocombustíveis"
DIRR3,29.96,90,10.27,3.08,514.34,12.53,59.885061509802,38.62,21.566666666667,-44.156740894182,32.59717779195,-15.595085986665,18.26,"6,70 Bilhões","750,12 Milhões","3,57 Bilhões",18.95,37.96,"1,63 Bilhão",0.91,5.7882113328487,8.69,Consumo Cíclico
WEGE3,29.42,100,29.79,8.76,155.26,-3.29,13.077818893134,44.44,9.3695912213333,-78.916311383138,13.037321427348,-70.663093097777,15.64,"186,53 Bilhões","6,58 Bilhões","40,03 Bilhões",18.04,22.39,"5,66 Bilhões",0.15,1.2506570697556,1.76,Bens Industriais
