Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
JBSS3,"93,60 Bilhões",70,8.59,2.16,187.01,1.31,63.670518630968,42.2,36.726733333333,-12.969826224329,46.437829406638,10.042249778763,25.15,2.46,"12,15 Bilhões","441,93 Bilhões",10.34,21.15,"29,70 Bilhões",2.64,6.3222897773461,12.41,Consumo não Cíclico
VIVT3,"90,47 Bilhões",70,15.84,1.33,62.6,5.04,28.969169394518,27.74,27.616091416667,-0.44667838259913,28.680023535555,3.3886933509553,8.38,10.07,"5,72 Bilhões","56,69 Bilhões",5.62,3.69,"8,19 Bilhões",0.3,6.0799697194508,3.38,Telecomunicações
RDOR3,"84,11 Bilhões",80,20.6,3.36,23,19.081949416855,36.74,10.2098717595,-72.210474252858,20.912819035223,-43.078881232382,16.33,7.95,"4,17 Bilhões","51,35 Bilhões",29.63,55.41,"39,99 Bilhões",1.51,2.1145518695478,1.9,Saúde,
SBSP3,"81,75 Bilhões",100,7.98,2.13,236.98,12.97,58.263097853303,119.6,30.54724,-74.458829431438,137.60620988894,15.055359438913,26.66,26.93,"10,24 Bilhões","38,01 Bilhões",16.39,60.1,"8,14 Bilhões",0.72,1.8115921223234,3.2,Utilidade Pública
B3SA3,"78,63 Bilhões",70,16.61,4.18,33.88,22.58,33.89075874702,14.93,9.4883051888889,-36.44805633698,8.502499632461,-43.05090668144,25.18,43.97,"4,73 Bilhões","10,76 Bilhões",2.91,2.66,"14,52 Bilhões",0.79,4.5303165249518,2.08,Financeiro
BBSE3,"76,62 Bilhões",90,8.86,6.57,140.22,-5.96,25.706686043059,38.31,40.5891997,5.949359697207,23.804957466881,-37.862288000833,74.13,0,"8,64 Bilhões",-,-100,17.56,"6,46 Bilhões",0,7.4951224833443,9.63,Financeiro
SUZB3,"67,06 Bilhões",40,-70.68,1.75,42.4,2.33,3.9177277179236,53.05,21.031635276667,-60.355070166509,-100,-2.47,-1.92,"-916,56 Milhões","49,50 Bilhões",10.2,"16,43 Bilhões",2.37,2.3684953210502,3.79,Materiais Básicos,,
EMBR3,"51,05 Bilhões",60,23.1,2.79,951.54,9.57,77.960851113793,68.94,0.88243303333333,-98.719998501112,40.720345037831,-40.933645143848,12.07,5.91,"2,23 Bilhões","37,38 Bilhões",13.74,"7,80 Bilhões",0.6,0,0.38,Bens Industriais,
TIMS3,"48,03 Bilhões",80,13.99,1.96,97.1,11.21,23.226659973052,19.84,15.468904846667,-22.031729603493,17.963713424568,-9.4570895939113,14.03,13.33,"3,43 Bilhões","25,75 Bilhões",8.32,13.23,"5,33 Bilhões",0.12,4.9313102189976,8.43,Telecomunicações
CPFE3,"47,24 Bilhões",70,8.86,2.12,140.19,15.45,29.495504795323,41,47.947233973333,16.94447310569,44.851078582348,9.3928745910927,23.97,12.37,"5,62 Bilhões","43,12 Bilhões",6.89,8.69,"4,05 Bilhões",1.27,9.0614253618854,6.96,Utilidade Pública
EQTL3,"46,57 Bilhões",70,15.08,1.74,139.26,11.29,24.667966336243,37.31,9.1968725615333,-75.350113745555,34.534613071526,-7.4387213306727,11.53,6.55,"3,89 Bilhões","47,18 Bilhões",21.4,2.47,"10,50 Bilhões",2.03,1.9113516721548,2.14,Utilidade Pública
CXSE3,"46,41 Bilhões",80,11.72,3.31,-0.13,3.9409368969723,15.47,16.240678758333,4.9817631437169,11.789656483545,-23.790197262153,28.22,0,"3,96 Bilhões",-,-100,17.53,"1,21 Bilhão",0,7.6633296253815,7.47,Financeiro,
RENT3,"45,10 Bilhões",70,23.45,1.71,29.54,3.5,-10.744984721715,41.66,18.646343003333,-55.241615450473,31.273327293398,-24.932003616423,7.28,4.97,"1,92 Bilhão","38,72 Bilhões",30.31,12.9,"8,17 Bilhões",1.62,2.230197343758,3.94,Consumo Cíclico
CPLE3,"36,02 Bilhões",80,11.69,1.31,238.78,20.4,44.724329565901,11.54,11.963518733333,3.6700063547054,14.008666960136,21.392261352998,11.2,12.73,"2,93 Bilhões","23,13 Bilhões",4.22,-5.6,"6,06 Bilhões",0.72,8.6169669783832,6.42,Utilidade Pública
CPLE6,"36,02 Bilhões",80,12.66,1.42,249.99,17.77,41.641174030934,12.49,13.1600276,5.3645124099279,14.008666960136,12.159062931433,11.2,12.73,"2,93 Bilhões","23,13 Bilhões",4.22,-5.6,"6,06 Bilhões",0.72,8.70702325792,6.53,Utilidade Pública
CPLE5,"36,02 Bilhões",60,13.58,1.52,184.75,38.63,-24.683038038089,13.4,15.287466433333,14.085570398007,14.008666960136,4.5422907472836,11.2,12.73,"2,93 Bilhões","23,13 Bilhões",4.22,-5.6,"6,06 Bilhões",0.72,4.7660621781057,6.09,Utilidade Pública
PRIO3,"35,66 Bilhões",90,3.15,1.34,658.64,15.1,-16.252631578947,39.78,0.24214333333333,-99.39129378247,91.874871428481,130.95744451604,42.58,72.61,"11,33 Bilhões","15,60 Bilhões",52.3,90.39,"4,16 Bilhões",0.83,0.031549619978284,"Petróleo, Gás e Biocombustíveis",
BRFS3,"35,35 Bilhões",40,9.22,2.2,-4.65,-0.66,9.0393856244939,21.01,2.3487575740667,-88.820763569411,22.122432054365,5.29477417594,23.89,6.03,"4,28 Bilhões","63,51 Bilhões",9.98,25.23,"12,98 Bilhões",1.24,0.55569974149842,3.43,Consumo não Cíclico
RAIL3,"34,69 Bilhões",30,-24.29,2.38,-7.18,-0.95,-7.9271294928607,18.7,0.5923683,-96.832255080214,-100,-9.78,-10.38,"-1,41 Bilhão","13,76 Bilhões",14.58,"7,85 Bilhões",1.44,0.18185313238693,0.47,Bens Industriais,,
